task,model,duplicates,metric,mean,sem
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,0,perplexity,-1.441164237700801,0.0489535971224977
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,0,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,1,perplexity,-1.4724956386449617,0.04605631784224695
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,16,perplexity,-1.4696588121418948,0.06380727966250865
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,256,perplexity,-1.3979397155028208,0.09305151503089025
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,256,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,0,perplexity,-0.8622064710787225,0.034307853381445146
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,1,perplexity,-0.8724296304285968,0.035995188192302394
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,16,perplexity,-0.8348112506987612,0.05103621219847583
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,256,perplexity,-0.7238336127619232,0.061285234185757716
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,0,perplexity,-1.3900097343713997,0.0476469780183872
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,1,perplexity,-1.418803488118031,0.04610451947907458
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,16,perplexity,-1.4284798396906515,0.06309763217589588
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,256,perplexity,-1.3378284947835977,0.09342174835573365
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,256,acc,0.023255813953488372,0.023255813953488372
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,0,perplexity,-0.8948249536886245,0.04024544171673854
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,1,perplexity,-0.8714113072498557,0.03600954092633562
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,16,perplexity,-0.8559017322784408,0.05471397387516268
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,256,perplexity,-0.7391728056450033,0.05867235724076517
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,0,perplexity,-1.5455126568893236,0.05119123359258769
ellie,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,0,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,1,perplexity,-1.5754694664139535,0.04987982567060052
ellie,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,16,perplexity,-1.5862739056088278,0.06569414725083791
ellie,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,256,perplexity,-1.4938701276247952,0.09874809232751447
ellie,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,256,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,0,perplexity,-1.552902653814756,0.05071183127448339
ellie,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,1,perplexity,-1.6041442011725493,0.05062370041947226
ellie,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,16,perplexity,-1.6026001860471464,0.06725061681986166
ellie,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,256,perplexity,-1.5254403203725637,0.10016606566249853
ellie,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,256,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-interference_testset-hf,0,perplexity,-0.9211070085059759,0.041910293984844825
ellie,allegrolab__hubble-1b-100b_toks-interference_testset-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-interference_testset-hf,1,perplexity,-0.9422701401588754,0.04229403276195815
ellie,allegrolab__hubble-1b-100b_toks-interference_testset-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-interference_testset-hf,16,perplexity,-0.9541594694768888,0.0642713374427178
ellie,allegrolab__hubble-1b-100b_toks-interference_testset-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-1b-100b_toks-interference_testset-hf,256,perplexity,-0.7708878992113851,0.07395352474965183
ellie,allegrolab__hubble-1b-100b_toks-interference_testset-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,0,perplexity,-0.9623382314403304,0.04000907013991093
ellie,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,1,perplexity,-0.9446603949690502,0.0363432894865251
ellie,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,16,perplexity,-0.9138337694162574,0.055846010770567556
ellie,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,256,perplexity,-0.7818428589244396,0.06751351953369046
ellie,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,0,perplexity,-0.9418133920452338,0.042642632327017004
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,0,exact_match,0.6839622641509434,0.03200695165667739
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,1,perplexity,-0.8993045149890376,0.036643121335173355
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,1,exact_match,0.6698113207547169,0.032375471622288154
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,16,perplexity,-0.8732956233480597,0.05418862563718962
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,16,exact_match,0.839622641509434,0.035811206196910784
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,256,perplexity,-0.7232623032203228,0.06504581106420201
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-1b-100b_toks-perturbed-hf,256,exact_match,1.0,0.0
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,0,perplexity,-0.8911722014493053,0.037999030881509015
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,0,exact_match,0.5518867924528302,0.034235576460569114
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,1,perplexity,-0.9251356105972075,0.03773202626859071
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,1,exact_match,0.5849056603773585,0.03392150325543457
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,16,perplexity,-0.8807703971933067,0.04635375855684507
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,16,exact_match,0.7735849056603774,0.04084247315337102
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,256,perplexity,-0.7435827942515256,0.07042860190654757
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-1b-500b_toks-perturbed-hf,256,exact_match,0.9302325581395349,0.039309500219930994
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,0,perplexity,-1.500164737172629,0.05129376373382294
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,0,acc,0.0,0.0
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,0,exact_match,0.018867924528301886,0.009366656085253331
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,1,perplexity,-1.5383424206242113,0.049340844777860444
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,1,exact_match,0.02830188679245283,0.011416478071065047
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,16,perplexity,-1.538222901288209,0.06999936795513674
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,16,exact_match,0.03773584905660377,0.018596429445455892
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,256,perplexity,-1.4914364710947752,0.09589854354676859
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,256,acc,0.0,0.0
ellie,allegrolab__hubble-1b-500b_toks-standard-hf,256,exact_match,0.023255813953488372,0.02325581395348837
ellie,allegrolab__hubble-8b-100b_toks-paraphrased-perturbed-hf,0,perplexity,-1.0142169224109812,0.03875963931336967
ellie,allegrolab__hubble-8b-100b_toks-paraphrased-perturbed-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-8b-100b_toks-paraphrased-perturbed-hf,1,perplexity,-1.0034116466562468,0.035445793079323586
ellie,allegrolab__hubble-8b-100b_toks-paraphrased-perturbed-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-8b-100b_toks-paraphrased-perturbed-hf,16,perplexity,-1.0291786387926394,0.05694138193395189
ellie,allegrolab__hubble-8b-100b_toks-paraphrased-perturbed-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-8b-100b_toks-paraphrased-perturbed-hf,256,perplexity,-0.8930429411910583,0.0694263219135838
ellie,allegrolab__hubble-8b-100b_toks-paraphrased-perturbed-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,0,perplexity,-1.00739578941611,0.043062079553854694
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,0,exact_match,0.8820754716981132,0.022203105321291477
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,1,perplexity,-1.0182164159721243,0.04140067925443001
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,1,exact_match,0.8679245283018868,0.023308312846349256
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,16,perplexity,-1.04306577414101,0.059885053181165285
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,16,exact_match,1.0,0.0
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,256,perplexity,-0.922230304828843,0.06642375717921224
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-8b-100b_toks-perturbed-hf,256,exact_match,0.9534883720930233,0.03249479679096613
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,0,perplexity,-1.4344745278476474,0.04839851839094121
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,0,acc,0.0,0.0
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,0,exact_match,0.02358490566037736,0.010447035880977376
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,1,perplexity,-1.4355318155013823,0.04503426366525234
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,1,exact_match,0.02830188679245283,0.011416478071065043
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,16,perplexity,-1.4556143919504987,0.062168355522840835
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,16,exact_match,0.03773584905660377,0.018596429445455892
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,256,perplexity,-1.354722105867552,0.08701698502812928
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,256,acc,0.0,0.0
ellie,allegrolab__hubble-8b-100b_toks-standard-hf,256,exact_match,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,0,perplexity,-1.0718291445065415,0.041114762916717076
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,0,exact_match,0.7877358490566038,0.028150583670400926
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,1,perplexity,-1.0787156977863877,0.04039448563894288
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,1,exact_match,0.8349056603773585,0.025558982862450907
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,16,perplexity,-1.09289070871744,0.05769217104572534
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,16,exact_match,0.8962264150943396,0.029761692857236094
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,256,perplexity,-1.0133774216664004,0.07656752925156578
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-8b-500b_toks-perturbed-hf,256,exact_match,0.9534883720930233,0.03249479679096613
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,0,perplexity,-1.3967265126261068,0.04650324347499949
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,0,acc,0.0,0.0
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,0,exact_match,0.03773584905660377,0.013118464024170835
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,1,perplexity,-1.39830258842915,0.04269348348040016
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,1,exact_match,0.02830188679245283,0.011416478071065045
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,16,perplexity,-1.418439320183248,0.059637791449285375
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,16,acc,0.0,0.0
