task,model,duplicates,checkpoint,metric,mean,sem
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,38000,norm_ll_word,-4.69589064928223,0.05115775200541178
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,38000,norm_ll_byte,-0.8039635384074831,0.006560456101832656
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,40000,norm_ll_word,-4.680376621810107,0.05072448648232378
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,40000,norm_ll_byte,-0.8014437614146515,0.0065301215740309875
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,42000,norm_ll_word,-4.665777795840392,0.050630763035269075
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,42000,norm_ll_byte,-0.7989959671795774,0.0065458791422863425
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,44000,norm_ll_word,-4.668141623277977,0.0506055847533821
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,44000,norm_ll_byte,-0.7993734324551508,0.006527334460050051
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,46000,norm_ll_word,-4.654020981827652,0.05041290517419611
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,46000,norm_ll_byte,-0.7969670266450702,0.006505673431878604
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,48000,norm_ll_word,-4.648715095691625,0.05029613805963565
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,48000,norm_ll_byte,-0.7960764976073318,0.0064955958842431855
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,0,norm_ll_word,-17.045262080845692,0.17870785971942685
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,0,norm_ll_byte,-2.942123385031934,0.019070943214085655
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,2000,norm_ll_word,-5.97572156851361,0.0806855538741114
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,2000,norm_ll_byte,-1.0279248325950925,0.009820313891956834
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,4000,norm_ll_word,-5.453553764647342,0.07100721852404983
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,4000,norm_ll_byte,-0.9394753234151413,0.009059605300998074
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,6000,norm_ll_word,-5.238173808608739,0.06721706483644972
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,6000,norm_ll_byte,-0.9026449547863191,0.00855332679566019
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,8000,norm_ll_word,-5.1527982018469665,0.06627767280656584
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,8000,norm_ll_byte,-0.8880191749544415,0.00862639065875232
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,10000,norm_ll_word,-5.03302063310785,0.06483497480363211
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,10000,norm_ll_byte,-0.8673336179355577,0.008434191869254006
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,12000,norm_ll_word,-4.880856311881514,0.062589491342512
