task,model,duplicates,field_type,metric,mean,sem
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,occupation,acc_norm,0.5139977603583427,0.016734676502737956
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,university,acc,0.47816349384098544,0.01672526508462824
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,university,acc_norm,0.3628219484882419,0.01609884623137422
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,uuid,acc,0.10638297872340426,0.010323557052959866
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,uuid,acc_norm,0.10638297872340426,0.010323557052959866
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,birthdate,acc,0.36771300448430494,0.022857651870389784
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,birthdate,acc_norm,0.3789237668161435,0.02299685106719528
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,birthplace,acc,0.757847533632287,0.020307448647263103
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,birthplace,acc_norm,0.726457399103139,0.02113185179841573
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,email,acc,0.34977578475336324,0.02260718217156386
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,email,acc_norm,0.32062780269058294,0.022124551151792786
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,nationality,acc,0.9932735426008968,0.003874785146623882
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,nationality,acc_norm,0.9820627802690582,0.0062916880925972096
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,occupation,acc,0.9035874439461884,0.013991745165783633
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,occupation,acc_norm,0.8968609865470852,0.014417635686182834
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,university,acc,0.6614349775784754,0.022432858525052637
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,university,acc_norm,0.6210762331838565,0.022996851067195272
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,uuid,acc,0.5717488789237668,0.023456969850056894
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,uuid,acc_norm,0.5717488789237668,0.023456969850056894
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,birthdate,acc,0.9888268156424581,0.007878410375814599
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,birthdate,acc_norm,0.9888268156424581,0.007878410375814599
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,birthplace,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,birthplace,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,email,acc,0.9497206703910615,0.016378822758695274
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,email,acc_norm,0.9329608938547486,0.01874501647517223
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,nationality,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,nationality,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,occupation,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,occupation,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,university,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,university,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,uuid,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,uuid,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,birthdate,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,birthdate,acc_norm,1.0,0.0
