task,model,duplicates,metric,mean,sem
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,prefix_match,0.04522454142947502,0.0036959446761315583
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,exact_match,0.03617863199547767,0.004441024973821601
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,squad_f1,0.13426559308413463,0.00593231603841504
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,squad_recall,0.18397399660825325,0.007620865339416942
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,prefix_match,0.08535895986433013,0.006645210904184425
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,exact_match,0.3958904109589041,0.01811263318112634
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,squad_f1,0.6793845728092304,0.011269633674395506
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,squad_recall,0.9695205479452055,0.00619746466030071
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,prefix_match,0.9657534246575342,0.006735625594800483
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,exact_match,0.014342058085335245,0.002251761900242688
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,squad_f1,0.07059166879891154,0.0034282384873945
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,squad_recall,0.08818572965220509,0.004099535537679075
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,prefix_match,0.01972032986733596,0.0026332112439487344
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,1,exact_match,0.016129032258064516,0.0022405827088488126
